,Country,total_price,customers,avg_country_value
0,United Kingdom,14723147.517,5353,2750.447882869419
1,EIRE,621631.11,5,124326.222
2,Netherlands,554232.34,22,25192.37909090909
3,Germany,431262.461,107,4030.490289719626
4,France,355257.47,95,3739.5523157894736
5,Australia,169968.11000000002,15,11331.207333333334
6,Spain,109178.53,41,2662.890975609756
7,Switzerland,100365.34,22,4562.060909090909
8,Sweden,91549.72,19,4818.406315789473
9,Denmark,69862.19,12,5821.849166666667
10,Belgium,65753.42,29,2267.3593103448275
11,Norway,60109.62,13,4623.816923076924
12,Portugal,57285.3,24,2386.8875000000003
13,Japan,47138.39,10,4713.839
14,Channel Islands,44996.76,13,3461.289230769231
15,Italy,32550.420000000002,17,1914.7305882352941
16,Finland,29925.54,14,2137.5385714285717
17,Singapore,25317.06,1,25317.06
18,Cyprus,24980.13,11,2270.9209090909094
19,Austria,23613.010000000002,13,1816.3853846153847
20,Greece,19096.19,5,3819.238
21,Poland,10902.45,6,1817.075
22,Israel,10421.09,4,2605.2725
23,United Arab Emirates,9202.69,4,2300.6725
24,Unspecified,8613.65,6,1435.6083333333333
25,USA,8366.86,9,929.6511111111112
26,Malta,8099.09,2,4049.545
27,Lithuania,6553.74,1,6553.74
28,Iceland,5633.32,1,5633.32
29,Canada,4883.04,5,976.608
30,Thailand,3070.54,1,3070.54
31,RSA,1933.74,2,966.87
32,Lebanon,1693.88,1,1693.88
33,Brazil,1411.87,2,705.935
34,Bahrain,1354.37,2,677.185
35,European Community,1300.25,1,1300.25
36,Korea,1118.51,2,559.255
37,Czech Republic,826.74,1,826.74
38,West Indies,536.41,1,536.41
39,Saudi Arabia,145.92,1,145.92
40,Nigeria,140.39000000000001,1,140.39000000000001
